from,to,amount,Year,Region,Product
DICKER DATA LIMITED,Alphawest Pty Limited,8773.0,2022,AUSNZ,Server CPU
SYNNEX AUSTRALIA_PTY LTD,Xenon Systems Pty Ltd,520.96,2022,AUSNZ,Server CPU
SYNNEX AUSTRALIA_PTY LTD,Edsys It Distribution Pty Ltd,5.229283990345937,2022,AUSNZ,DT CPU
INDEKS INTERNATIONAL FZE,3s Bнlнонm Ve Teknolojнlerн San.,33.0,2022,META,DT CPU
INDEKS INTERNATIONAL FZE,Art Sнstem Bнlgнsayar Gмv.tek.ltd.,92.7701062215478,2022,META,DT CPU
INDEKS INTERNATIONAL FZE,Casper Bilgisayar Sistemleri A,11.275510204081632,2022,META,DT CPU
INDEKS INTERNATIONAL FZE,Casper Bнlg.sнst.a.о.,14.490794016110472,2022,META,DT CPU
INDEKS INTERNATIONAL FZE,"Casper Pazarlama Ic Ve Dis Tic A,о,",14.351883042511622,2022,META,DT CPU
INDEKS INTERNATIONAL FZE,Denge Bilgisayar San.ve Tic.ltd.şti,63.888888888888886,2022,META,DT CPU
INDEKS INTERNATIONAL FZE,Eera Elektronik Ticaret Ve Bil,31.829767865270824,2022,META,DT CPU
INDEKS INTERNATIONAL FZE,"Eksa Elektronik Bнlgн Ноlem San,ve",2.2229033840117705,2022,META,DT CPU
INDEKS INTERNATIONAL FZE,Mustafa Akbaş/mavitek Yazilim,18.0,2022,META,DT CPU
INDEKS INTERNATIONAL FZE,Oksнd Bнlнонm Teknolojн Sanayн Ve T,7.0111918319261735,2022,META,DT CPU
INDEKS INTERNATIONAL FZE,"Sýnerjý Býlgýsayar Elektr, Ve Sanal",22.644927536231883,2022,META,DT CPU
INDEKS INTERNATIONAL FZE,"Sнnerjн Bнlgнsayar Elektr, Ve Sanal",31.177761521580102,2022,META,DT CPU
INDEKS INTERNATIONAL FZE,Vatan Bнlgнsayar San.ve Tнc.a.о.,2.3421926910299002,2022,META,DT CPU
INDEKS INTERNATIONAL FZE,İncehesap Sanal Mağazacilik Tic.,31.0,2022,META,DT CPU
Logicom FZE,Golden Triangle Technology Fze,14.11038381434097,2022,META,DT CPU
Metra Computer Group FZCO,Bluetec Computer (l L C),15.25688611056847,2022,META,DT CPU
Metra Computer Group FZCO,Fourth Dimension For International Trad,33.283261802575105,2022,META,DT CPU
Metra Computer Group FZCO,Golden Triangle Technology Fze,5.364806866952789,2022,META,DT CPU
Metra Computer Group FZCO,Lai Fai Computer Trading L.l.c,0.8766233766233766,2022,META,DT CPU
Metra Computer Group FZCO,Microtrans (l.l.c.) (branch),50.0,2022,META,DT CPU
Metra Computer Group FZCO,Prince Computer Trading Llc,45.30201342281879,2022,META,DT CPU
Metra Computer Group FZCO,Tssc Fzco,3.388681802778719,2022,META,DT CPU
Mindware FZ LLC,Golden Triangle Technology Fze,32.396088019559905,2022,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,Aygulates/osmanlibilgisayar,30.0,2022,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,Betaplustek.hizm.san.tic.ltd.st.,11.245179748724965,2022,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,Btm Tek.bilg.ve Guv.sist San.tic.lt,21.428571428571427,2022,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,Cozumyaz Don Elekt Ticvedis,37.32373237323733,2022,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,Eera Elekt. Tic. Ve Bil.hiz. Ltd St,3.953125,2022,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,Fox Tekn.ve Bil.hiz.dis Tic.ltd.sti,30.0,2022,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,It Joint Bilisim A.s.,15.0,2022,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,Makropol Bilg.ve İletş.sis.san.tic.,30.0,2022,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,Metin Köse Bilişim Hiz.inş.tur.tic.ve San.ltd.şti.,30.0,2022,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,Muammer Kabal / Hm Dogus Bilg Paz T,10.0,2022,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,Omer Abdullah Ayhan Ayhan Bilgisayar Elektronik,30.0,2022,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,PROTEK BILGISAYAR VE MUH HIZM ADEM,30.0,2022,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,Sammteknolojiilet.san.tic.a.s,30.0,2022,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,Softtek Teknoloji Ur Muh Bil Ve Ins Ic,30.0,2022,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,Tebilonbilisimtek.san.ve.tic.a.s,27.05851063829787,2022,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,Technopc Teknoloji Sanayi Ve T,45.03701875616979,2022,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,Technopcteknolojisanayivetic.a,30.0,2022,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,Ufo Bilgisayar Iletisim Yazilim Kirtasiye Sanayi Ve Ticaret Limited Sirketi,25.0,2022,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,Vatanbilgisayarsan Vetic A S,6.057435440783616,2022,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,Yanki Bilgisayar Buro Malz Tic San Ltc.,30.0,2022,META,DT CPU
Penta Teknoloji Urunleri Dagitim Ticaret,Yasin Ay - Armada Grup Bilisim,30.0,2022,META,DT CPU
Spectra Innovations Pte Ltd.,Barclays Computers (pvt) Ltd,5.0,2022,META,DT CPU
Spectra Innovations Pte Ltd.,The Technocity (pvt) Ltd,5.0,2022,META,DT CPU
INDEKS INTERNATIONAL FZE,Casper Bнlg.sнst.a.о.,11.166666666666666,2022,META,NB CPU
SERTEK  INCORPORATED,Advantech,16.571392237651967,2022,Taiwan,Server CPU
SYNNEX TECHNOLOGY INT'L CORP,Mitac Computing Technology Corporation,1112.5,2022,Taiwan,Server CPU
SYNNEX TECHNOLOGY INT'L CORP,神雲科技股份有限公司,301.7254004576659,2022,Taiwan,Server CPU
WORLD PEACE INDUSTRIAL CO.LTD,營邦企業股份有限公司,1562.3376623376623,2022,Taiwan,Server CPU
WPG Electronics (SA) Pte.Ltd,光宸科技 Quanmax,31.17133443163097,2022,Taiwan,Server CPU
"WT MICROELECTRONICS CO., LTD.",技嘉科技股份有限公司,2406.0,2022,Taiwan,Server CPU
SERTEK  INCORPORATED,Advantech,3.5296396745447502,2022,Taiwan,DT CPU
SERTEK  INCORPORATED,Ennoconn,0.20753401332965768,2022,Taiwan,DT CPU
SERTEK  INCORPORATED,Sintrones Technology Corp.,4.440064360418343,2022,Taiwan,DT CPU
SERTEK  INCORPORATED,振樺電子股份有限公司,1.5634081902245707,2022,Taiwan,DT CPU
SYNNEX TECHNOLOGY INT'L CORP,"Firich Enterprises Co., Ltd",1.5985035594944066,2022,Taiwan,DT CPU
SYNNEX TECHNOLOGY INT'L CORP,"Lex Computech Co., Ltd.",4.1554896701021224,2022,Taiwan,DT CPU
SYNNEX TECHNOLOGY INT'L CORP,"Nexcom International Co., Ltd",0.7811985989898794,2022,Taiwan,DT CPU
SYNNEX TECHNOLOGY INT'L CORP,凌華科技,3.69980879541109,2022,Taiwan,DT CPU
SYNNEX TECHNOLOGY INT'L CORP,拍檔科技股份有限公司,1.9525206036604945,2022,Taiwan,DT CPU
SYNNEX TECHNOLOGY INT'L CORP,艾訊,0.5752846460488262,2022,Taiwan,DT CPU
SYNNEX TECHNOLOGY INT'L CORPORATION,"Elitegroup Computer Systems Co.,ltd.",25.455326694857455,2022,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,"Asustor, Inc.",22.060208062418727,2022,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,Biostar Microtech Int'l Corp.,23.00687730489385,2022,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,Caswell,2.6447002778880506,2022,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,Enbik,1.202788146568142,2022,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,Genuine C&c Inc.,1.9988063977082835,2022,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,Ibase,11.246091899573662,2022,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,Qnap,37.76356260865689,2022,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,Winncom Technologies Corp.,9.474982250289601,2022,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,南京資訊股份有限公司,6.418530633896207,2022,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,浩鑫電腦股份有限公司,1.9680416202155333,2022,Taiwan,DT CPU
WORLD PEACE INDUSTRIAL CO.LTD,鴻海精密,22.576194656967264,2022,Taiwan,DT CPU
WPG Electronics (SA) Pte.Ltd,華碩電腦,3.3663539166484835,2022,Taiwan,DT CPU
SERTEK  INCORPORATED,Advantech,0.9237553008447186,2022,Taiwan,Emb POR
SERTEK  INCORPORATED,Ebn Technology Crop.,2.009527299377061,2022,Taiwan,Emb POR
SERTEK  INCORPORATED,Ennoconn,13.907652728180317,2022,Taiwan,Emb POR
SERTEK  INCORPORATED,Jet Way,1.7170510296031773,2022,Taiwan,Emb POR
