Name,anomalies,node_shape,Amount,Year,Region,Product,x,y
INDEKS INTERNATIONAL FZE,1,star,50.541435,2022,META,DT CPU,0.2524339991897064,0.30521165130791705
3s Bнlнонm Ve Teknolojнlerн San.,0,circle,10.0011425,2022,META,DT CPU,0.07072960910238056,-0.22141224456857575
Art Sнstem Bнlgнsayar Gмv.tek.ltd.,0,circle,14.947144,2022,META,DT CPU,0.3168919549816826,-0.24565658116736908
Casper Bilgisayar Sistemleri A,0,circle,11.49756,2022,META,DT CPU,0.5508567380353098,-0.16529605014339568
Casper Bнlg.sнst.a.о.,0,circle,20.746395,2022,META,DT CPU,0.7233101731676488,0.012094633297355039
"Casper Pazarlama Ic Ve Dis Tic A,о,",0,circle,28.505898,2022,META,DT CPU,0.8063644490799153,0.2451551183236722
Denge Bilgisayar San.ve Tic.ltd.şti,0,circle,16.46842,2022,META,DT CPU,0.7751693139789104,0.49059448109544745
Eera Elektronik Ticaret Ve Bil,0,circle,12.710222,2022,META,DT CPU,0.6447659059590003,0.7008560792436364
"Eksa Elektronik Bнlgн Ноlem San,ve",0,circle,13.942361,2022,META,DT CPU,0.4333936789984016,0.8294159125101469
Mustafa Akbaş/mavitek Yazilim,0,circle,10.0,2022,META,DT CPU,0.18771564908642133,0.8585980726720325
Oksнd Bнlнонm Teknolojн Sanayн Ve T,0,circle,16.183239,2022,META,DT CPU,-0.044591793646735746,0.7734785050625885
"Sýnerjý Býlgýsayar Elektr, Ve Sanal",0,circle,11.05397,2022,META,DT CPU,-0.22056225310528202,0.5995753896675671
"Sнnerjн Bнlgнsayar Elektr, Ve Sanal",0,circle,11.712523,2022,META,DT CPU,-0.29886327672821483,0.3649107536530544
Vatan Bнlgнsayar San.ve Tнc.a.о.,0,circle,10.799024,2022,META,DT CPU,-0.2726005560283954,0.11894876537896021
İncehesap Sanal Mağazacilik Tic.,0,circle,10.558872,2022,META,DT CPU,-0.13801878924389704,-0.08857759394156035
Logicom FZE,0,star,15.875395,2022,META,DT CPU,0.5284028007963143,0.48302244413332834
Golden Triangle Technology Fze,0,circle,27.016727,2022,META,DT CPU,0.08335428990350817,0.20632545871059124
Metra Computer Group FZCO,1,star,54.138237,2022,META,DT CPU,-0.4799681110550522,0.2994886974318091
Bluetec Computer (l L C),0,circle,15.506687,2022,META,DT CPU,-0.21333366936251244,0.7392174567502582
Fourth Dimension For International Trad,0,circle,60.0,2022,META,DT CPU,-0.5971806971336453,0.8305645795913451
Lai Fai Computer Trading L.l.c,0,circle,10.700238,2022,META,DT CPU,-0.9314910251502659,0.5869601796412457
Microtrans (l.l.c.) (branch),0,circle,10.633523,2022,META,DT CPU,-1.0,0.17297322817597063
Prince Computer Trading Llc,0,circle,10.65241,2022,META,DT CPU,-0.7620514371136521,-0.16544876034998254
Tssc Fzco,0,circle,12.881993,2022,META,DT CPU,-0.36909123477446143,-0.2027619332660062
Mindware FZ LLC,0,star,12.945669,2022,META,DT CPU,0.41558782854039944,-0.19905916216789762
Penta Teknoloji Urunleri Dagitim Ticaret,1,star,60.0,2022,META,DT CPU,-0.08137486243380819,-0.3175022462555312
Aygulates/osmanlibilgisayar,0,circle,10.002128,2022,META,DT CPU,0.2643556626556377,-0.15696626516879808
Betaplustek.hizm.san.tic.ltd.st.,0,circle,18.18333,2022,META,DT CPU,-0.1485199038287093,0.06349961182381102
Btm Tek.bilg.ve Guv.sist San.tic.lt,0,circle,10.013758,2022,META,DT CPU,-0.34741181620512546,0.2397604318049783
Cozumyaz Don Elekt Ticvedis,0,circle,13.258553,2022,META,DT CPU,-0.5123574763191403,0.0895477815030125
Eera Elekt. Tic. Ve Bil.hiz. Ltd St,0,circle,31.439392,2022,META,DT CPU,-0.659003806127167,-0.08662780629154809
Fox Tekn.ve Bil.hiz.dis Tic.ltd.sti,0,circle,10.004218,2022,META,DT CPU,-0.7010384384777734,-0.355773129342646
It Joint Bilisim A.s.,0,circle,10.0036955,2022,META,DT CPU,-0.46654649723220226,-0.25157223438585247
Makropol Bilg.ve İletş.sis.san.tic.,0,circle,10.004218,2022,META,DT CPU,-0.6193807325035168,-0.5681449861629589
Metin Köse Bilişim Hiz.inş.tur.tic.ve San.ltd.şti.,0,circle,10.009443,2022,META,DT CPU,-0.5092568672320142,-0.7676195992083491
Muammer Kabal / Hm Dogus Bilg Paz T,0,circle,10.002687,2022,META,DT CPU,-0.2797717714822839,-0.6545503386793425
Omer Abdullah Ayhan Ayhan Bilgisayar Elektronik,0,circle,10.001082,2022,META,DT CPU,-0.27553252138338846,-0.9084368906331625
PROTEK BILGISAYAR VE MUH HIZM ADEM,0,circle,10.000037,2022,META,DT CPU,-0.04697264534516855,-0.9087109109527534
Sammteknolojiilet.san.tic.a.s,0,circle,10.000037,2022,META,DT CPU,0.17371388661037915,-0.8797964912129785
Softtek Teknoloji Ur Muh Bil Ve Ins Ic,0,circle,10.000037,2022,META,DT CPU,0.16734712266078197,-0.6131468855553233
